pair,signal_dt,entry_dt,exit_dt,side,entry,signal_close,stop,target,exit,reason,r,atr,execution_tf
GBPUSD,2019-08-01 16:00:00,2019-08-01 16:00:00,2019-08-01 20:30:00,-1,120931.0,120938.0,121562.28598722139,119352.7850319465,121570.28598722139,SL,-1.0126725448717868,420.8573248142634,m30
GBPUSD,2019-09-02 16:00:00,2019-09-02 16:00:00,2019-09-04 09:30:00,-1,120700.0,120708.0,121255.55174640077,119311.12063399807,121263.55174640077,SL,-1.0144000987339727,370.3678309338464,m30
GBPUSD,2019-10-08 16:00:00,2019-10-08 16:00:00,2019-10-09 11:00:00,-1,122086.0,122094.0,122651.33197665027,120672.67005837432,122659.33197665027,SL,-1.014150977355645,376.88798443351214,m30
GBPUSD,2019-11-18 08:00:00,2019-11-18 08:00:00,2019-11-20 10:30:00,1,129249.0,129242.0,128902.2690876922,130115.8272807695,128894.2690876922,SL,-1.0230726471624798,231.15394153853242,m30
GBPUSD,2019-12-03 12:00:00,2019-12-03 12:00:00,2019-12-04 14:00:00,1,129881.0,129873.0,129488.65725614951,130861.8568596262,130853.8568596262,TP,2.479609664953943,261.5618292336548,m30
GBPUSD,2019-12-05 12:00:00,2019-12-05 12:00:00,2019-12-06 16:00:00,1,131335.0,131326.0,130892.76704938643,132440.58237653392,131308.0,FRIDAY,-0.061053795205760195,294.8219670757137,m30
GBPUSD,2019-12-30 08:00:00,2019-12-30 08:00:00,2019-12-31 18:30:00,1,131191.0,131186.0,130647.56460900012,132549.58847749967,132541.58847749967,TP,2.48527883878654,362.2902606665801,m30
GBPUSD,2020-01-31 12:00:00,2020-01-31 12:00:00,2020-01-31 16:00:00,1,131184.0,131176.0,130732.81114133337,132311.97214666658,131438.0,FRIDAY,0.5629571633276403,300.79257244441806,m30
GBPUSD,2020-04-21 08:00:00,2020-04-21 08:00:00,2020-04-23 17:00:00,-1,124013.0,124021.0,124770.6554832728,122118.861291818,124005.0,BE,0.010558888804503676,505.10365551520056,m30
GBPUSD,2020-05-14 08:00:00,2020-05-14 08:00:00,2020-05-15 16:00:00,-1,122071.0,122077.0,122793.93650035364,120263.65874911589,121818.0,FRIDAY,0.3499615801335781,481.95766690242874,m30
GBPUSD,2020-05-22 12:00:00,2020-05-22 12:00:00,2020-05-22 16:00:00,-1,121761.0,121769.0,122334.96242444054,120326.09393889864,121709.0,FRIDAY,0.0905982652970457,382.6416162936963,m30
GBPUSD,2020-08-18 12:00:00,2020-08-18 12:00:00,2020-08-19 17:30:00,1,131695.0,131687.0,131177.3444056769,132989.13898580775,131703.0,BE,0.01545429062823325,345.1037295487335,m30
GBPUSD,2020-09-01 08:00:00,2020-09-01 08:00:00,2020-09-02 10:00:00,1,134053.0,134045.0,133389.66820839274,135711.32947901817,133381.66820839274,SL,-1.012060329538262,442.2211944048442,m30
GBPUSD,2020-10-21 12:00:00,2020-10-21 12:00:00,2020-10-23 16:00:00,1,130401.0,130393.0,129683.51440290884,132194.7139927279,130900.0,FRIDAY,0.6954843442475463,478.3237313941022,m30
GBPUSD,2020-11-10 12:00:00,2020-11-10 12:00:00,2020-11-12 11:00:00,1,132492.0,132481.0,131637.3012297768,134628.74692555802,131629.3012297768,SL,-1.009360022827599,569.799180148803,m30
GBPUSD,2020-11-17 16:00:00,2020-11-17 16:00:00,2020-11-19 16:00:00,1,132647.0,132637.0,132005.33485212442,134251.16286968897,131997.33485212442,SL,-1.0124675619775787,427.7767652503934,m30
GBPUSD,2020-11-23 12:00:00,2020-11-23 12:00:00,2020-11-23 17:30:00,1,133659.0,133650.0,133086.2517051829,135090.8707370428,133078.2517051829,SL,-1.0139677412789947,381.8321965447455,m30
GBPUSD,2020-12-03 16:00:00,2020-12-03 16:00:00,2020-12-04 16:00:00,1,134649.0,134641.0,133972.7436417124,136339.64089571897,135015.0,FRIDAY,0.5412148743810409,450.8375721917289,m30
GBPUSD,2020-12-16 12:00:00,2020-12-16 12:00:00,2020-12-18 16:00:00,1,135173.0,135166.0,134269.49030110124,137431.77424724694,135135.0,FRIDAY,-0.04205820927690723,602.3397992658481,m30
GBPUSD,2020-12-24 12:00:00,2020-12-24 12:00:00,2020-12-28 12:30:00,1,135984.0,135982.0,135001.3032194814,138440.7419512965,134993.3032194814,SL,-1.0081408631417026,655.131187012404,m30
GBPUSD,2020-12-31 12:00:00,2020-12-31 12:00:00,2021-01-04 17:00:00,1,136597.0,136588.0,135876.35176439988,138398.62058900032,135868.35176439988,SL,-1.0111011164737425,480.43215706675164,m30
GBPUSD,2021-01-21 12:00:00,2021-01-21 12:00:00,2021-01-22 09:00:00,1,137340.0,137333.0,136802.00061547497,138684.9984613126,136794.00061547497,SL,-1.0148699054870671,358.66625635002714,m30
GBPUSD,2021-02-09 08:00:00,2021-02-09 08:00:00,2021-02-12 16:00:00,1,137840.0,137834.0,137323.681926302,139130.79518424498,137990.0,FRIDAY,0.2905185923972512,344.2120491319928,m30
GBPUSD,2021-02-15 08:00:00,2021-02-15 08:00:00,2021-02-17 13:30:00,1,139005.0,138997.0,138558.1060970334,140122.2347574165,138550.1060970334,SL,-1.0179013406692246,297.9292686444017,m30
GBPUSD,2021-02-18 16:00:00,2021-02-18 16:00:00,2021-02-19 16:00:00,1,139788.0,139776.0,139233.3835665098,141174.54108372555,140288.0,FRIDAY,0.9015239538675173,369.74428899347697,m30
GBPUSD,2021-02-23 12:00:00,2021-02-23 12:00:00,2021-02-24 03:00:00,1,140904.0,140896.0,140384.2328297011,142203.41792574726,142195.41792574726,TP,2.484608493077026,346.51144686593256,m30
GBPUSD,2021-03-11 08:00:00,2021-03-11 08:00:00,2021-03-12 16:00:00,1,139398.0,139389.0,138762.9863863063,140985.53403423424,138845.0,FRIDAY,-0.8708474717311249,423.3424091291304,m30
GBPUSD,2021-04-20 08:00:00,2021-04-20 08:00:00,2021-04-20 17:30:00,1,140034.0,140026.0,139482.31894814133,141413.20262964666,139474.31894814133,SL,-1.014501132444277,367.78736790578074,m30
GBPUSD,2021-05-10 12:00:00,2021-05-10 12:00:00,2021-05-13 11:30:00,1,140903.0,140899.0,140294.76362722018,142423.59093194953,140286.76362722018,SL,-1.0131527813166594,405.49091518654063,m30
GBPUSD,2021-05-18 08:00:00,2021-05-18 08:00:00,2021-05-19 21:00:00,1,141718.0,141710.0,141228.28270447985,142942.29323880037,141220.28270447985,SL,-1.0163359556078415,326.4781970134292,m30
