pair,signal_dt,entry_dt,exit_dt,side,entry,signal_close,stop,target,exit,reason,r,atr,execution_tf,holding_hours,entry_checkpoint_utc,weekday,trend_sep_atr,ema_slope_atr,breakout_atr,candle_atr,atr_pct_252,year,entry_weekday,friday_outcome,no_chase_displacement_atr
USDJPY,2014-10-23 12:00:00,2014-10-23 12:00:00,2014-10-24 16:00:00,1,107540.0,107532.0,107046.88733405995,108772.78166485007,107933.0,FRIDAY,0.7969781089496281,328.7417772933577,h4,28.0,12,Thursday,9.211243953205432,0.2584188616379204,0.4441175721627698,1.5392019966737092,0.5873015873015873,2014,Thursday,FRIDAY_WIN,0.024335209433576428
USDJPY,2014-10-30 08:00:00,2014-10-30 08:00:00,2014-10-31 04:00:00,1,109136.0,109132.0,108699.47574339074,110227.31064152316,110220.31064152316,TP,2.4839642359066745,291.0161710728466,h4,20.0,8,Thursday,10.68712694881282,1.0783649375700506,0.07216093841995921,0.6219585644767913,0.4246031746031746,2014,Thursday,NOT_FRIDAY,0.013744940651420803
USDJPY,2014-10-31 12:00:00,2014-10-31 12:00:00,2014-10-31 16:00:00,1,111752.0,111745.0,111050.15099216076,113506.62251959814,112272.0,FRIDAY,0.7409000998674881,467.8993385595021,h4,4.0,12,Friday,6.7381828191223,0.7319011860232826,1.1284478444135588,1.8550998654374413,0.9166666666666666,2014,Friday,FRIDAY_WIN,0.014960482785785816
USDJPY,2014-11-03 12:00:00,2014-11-03 12:00:00,2014-11-06 04:00:00,1,113286.0,113276.0,112531.8753304082,115171.31167397952,115164.31167397952,TP,2.490717715144121,502.7497797278679,h4,64.0,12,Monday,6.522430941316103,0.9795676315587054,0.614619861528846,1.6608659688562666,0.9444444444444444,2014,Monday,NOT_FRIDAY,0.019890610405464273
USDJPY,2014-11-11 12:00:00,2014-11-11 12:00:00,2014-11-11 20:00:00,1,115990.0,115979.0,115237.39723536604,117871.50691158486,115230.39723536604,SL,-1.009301055389305,501.73517642263033,h4,8.0,12,Tuesday,8.420443866023477,2.5940234826448787,0.7513924032355244,1.5306879726389462,0.8333333333333334,2014,Tuesday,NOT_FRIDAY,0.02192391627477657
USDJPY,2014-11-14 12:00:00,2014-11-14 12:00:00,2014-11-14 16:00:00,1,116353.0,116343.0,115699.32739520434,117987.18151198915,116619.0,FRIDAY,0.4069315404202227,435.7817365304443,h4,4.0,12,Friday,10.754366525421625,2.9708713841019123,0.1262099702431142,0.621870944288799,0.7063492063492064,2014,Friday,FRIDAY_WIN,0.022947267316929854
USDJPY,2014-11-19 08:00:00,2014-11-19 08:00:00,2014-11-20 08:00:00,1,117285.0,117278.0,116643.59390419944,118888.51523950144,118881.51523950144,TP,2.489086477278852,427.6040638670526,h4,24.0,8,Wednesday,12.02758852089986,3.086716793470046,0.14967116874712022,0.7156152755721685,0.6190476190476191,2014,Wednesday,NOT_FRIDAY,0.01637028408171627
USDJPY,2014-12-04 08:00:00,2014-12-04 08:00:00,2014-12-04 16:00:00,1,119901.0,119896.0,119453.47940417152,121019.8014895712,119446.47940417152,SL,-1.0156417382020986,298.34706388565496,h4,8.0,8,Thursday,22.295661182902915,4.147287148166988,0.003351801043308614,0.4793075491931318,0.06746031746031746,2014,Thursday,NOT_FRIDAY,0.01675900521654307
USDJPY,2014-12-05 12:00:00,2014-12-05 12:00:00,2014-12-05 16:00:00,1,120343.0,120336.0,119867.2971421366,121532.25714465846,121170.0,FRIDAY,1.7384802010954024,317.13523857559187,h4,4.0,12,Friday,21.37470340280699,4.006283431451109,0.28379060114616605,1.169847922502529,0.08333333333333333,2014,Friday,FRIDAY_WIN,0.02207260231136847
USDJPY,2014-12-18 16:00:00,2014-12-18 16:00:00,2014-12-19 16:00:00,1,119242.0,119234.0,118024.84314496572,122284.8921375857,119072.0,FRIDAY,-0.1396697552142629,811.4379033561869,h4,24.0,16,Thursday,9.035858422082873,0.8036912481373008,0.28591220479154994,0.9748127327160172,0.9682539682539683,2014,Thursday,FRIDAY_LOSS,0.009859041544536205
USDJPY,2014-12-22 12:00:00,2014-12-22 12:00:00,2014-12-26 16:00:00,1,119829.0,119823.0,118943.51003603375,122042.72490991556,120377.0,FRIDAY,0.6188664155440371,590.326642644154,h4,100.0,12,Monday,12.574114392080673,1.0848798268826985,0.33879548296206413,0.7284102883684378,0.8095238095238095,2014,Monday,FRIDAY_WIN,0.010163864488861923
USDJPY,2015-01-20 08:00:00,2015-01-20 08:00:00,2015-01-21 08:00:00,1,118294.0,118292.0,117480.01832486928,120328.95418782676,117473.01832486928,SL,-1.0085997021970756,542.6544500871381,h4,24.0,8,Tuesday,13.52645278656295,0.04789614997522727,0.10688201302078422,0.5399384450877548,0.6785714285714286,2015,Tuesday,NOT_FRIDAY,0.003685586655889111
USDJPY,2015-02-10 16:00:00,2015-02-10 16:00:00,2015-02-12 08:00:00,1,119489.0,119483.0,118901.97742448033,120956.55643879923,119496.0,BE,0.0119245839801014,391.3483836797944,h4,40.0,16,Tuesday,16.792651181183903,0.2765136217898819,0.6771460188700459,1.9266720687849608,0.09523809523809523,2015,Tuesday,NOT_FRIDAY,0.015331607974416133
USDJPY,2015-02-24 12:00:00,2015-02-24 12:00:00,2015-02-24 16:00:00,1,119520.0,119506.0,119044.31098567929,120709.2225358018,119037.31098567929,SL,-1.0147154964467755,317.1260095471471,h4,4.0,12,Tuesday,19.853799176743056,0.6264109046679371,0.48876470341028955,1.5072872789039897,0.03571428571428571,2015,Tuesday,NOT_FRIDAY,0.04414648934028422
USDJPY,2015-03-10 08:00:00,2015-03-10 08:00:00,2015-03-10 12:00:00,1,121798.0,121787.0,121273.00590881427,123110.48522796428,121266.00590881427,SL,-1.013333483400158,349.9960607904709,h4,4.0,8,Tuesday,17.55095002626207,1.0588051018528897,0.1371444006872287,1.1085839055550986,0.28174603174603174,2015,Tuesday,NOT_FRIDAY,0.03142892515748991
USDJPY,2015-04-07 12:00:00,2015-04-07 12:00:00,2015-04-10 16:00:00,1,119956.0,119949.0,119500.14155113454,121095.64612216364,120237.0,FRIDAY,0.6164194185702917,303.9056325769713,h4,76.0,12,Tuesday,18.173295914699946,0.11381463980953063,0.023033465818462856,1.8558392459447215,0.13095238095238096,2015,Tuesday,FRIDAY_WIN,0.023033465818462856
USDJPY,2015-04-13 12:00:00,2015-04-13 12:00:00,2015-04-13 12:00:00,1,120792.0,120781.0,120329.81451394784,121947.46371513043,120322.81451394784,SL,-1.015145434487331,308.1236573681149,h4,0.0,12,Monday,17.520938959310964,0.41899274104513506,0.14604526112786778,1.5707979196864001,0.1984126984126984,2015,Monday,NOT_FRIDAY,0.03569995272014546
USDJPY,2015-05-20 08:00:00,2015-05-20 08:00:00,2015-05-22 16:00:00,1,120967.0,120961.0,120575.65727524296,121945.3568118926,121467.0,FRIDAY,1.2776524728047862,260.8951498380293,h4,56.0,8,Wednesday,15.883359591209265,0.09905877875915707,0.15331829673657435,0.7550926114276286,0.10714285714285714,2015,Wednesday,FRIDAY_WIN,0.02299774451048615
